filename,label_bucket,class_id,notes,
1r2tma4_1.jpg,5-10,1,,
1r36700_1.jpg,20-25,4,,
1r36700_2.jpg,20-25,4,,
1r3azi8_1.jpg,10-15,2,on the higher end,
1r3d493_1.jpg,10-15,2,lower end,
1r3d493_2.jpg,10-15,2,,
1r3wko7_1.jpg,10-15,2,lower end,
1r3wko7_2.jpg,10-15,2,,
1r3wko7_3.jpg,10-15,2,,
1r3yic2_1.jpg,20-25,4,higher end,
1r3yic2_2.jpg,20-25,4,,
1r3zwm3_1.jpg,15-20,3,higher end,
1r42t92_1.jpg,10-15,2,,
1r4grnx_1.jpg,15-20,3,mid range,
1r4p4wi_1.jpg,20-25,4,low range,
1r5cb9p_1.jpg,10-15,2,mid,
1r5fvui_1.jpg,20-25,4,low range,
1r5g1rp_1.jpg,25-30,5,higher end,
1r5g1rp_2.jpg,25-30,5,,
1r62351_2.jpg,20-25,4,mid,
1r62351_4.jpg,20-25,4,,
1r68jx2_1.jpg,20-25,4,lower end,
1r6fkpx_1.jpg,10-15,2,higher end,
1r6fkpx_2.jpg,10-15,2,higher end,
1r6gvm2_1.jpg,0-5,0,higher end,
1r6gvm2_3.jpg,5-10,1,mid,
1r7sjjz_2.jpg,30+,6,very high end,
1r7vpfo_1.jpg,10-15,2,,
1r87fva_1.jpg,15-20,3,lower end,
1r87fva_2.jpg,15-20,3,mid end,
1r87fva_3.jpg,15-20,3,lower end,
1r8zn9s_1.jpg,15-20,3,mid end really good insertions,
1r8ztdo_1.jpg,25-30,5,,
1r96qqz_3.jpg,20-25,4,,
1r96qqz_4.jpg,20-25,4,,
1r9y86c_1.jpg,10-15,2,interesting build fs,
1r9y86c_2.jpg,10-15,2,,
1ran2kv_1.jpg,20-25,4,,
1rapsms_1.jpg,15-20,3,,
1ratz1i_2.jpg,30+,6,,
1rb3jhv_1.jpg,20-25,4,def at like 20 percent,
1rb3jhv_3.jpg,20-25,4,,
1rb864z_1.jpg,20-25,4,,
1rbnnp3_1.jpg,30+,6,,
1rbtcc4_1.jpg,20-25,4,hairy ahh,
1rbtcc4_2.jpg,20-25,4,,
1rbtcc4_3.jpg,20-25,4,,
1rc4han_1.jpg,15-20,3,very lower side,
1rc90f5_2.jpg,15-20,3,conflicted,
1rc9zjs_1.jpg,15-20,3,higher end,
1rc9zjs_2.jpg,15-20,3,,
1rcaexd_1.jpg,10-15,2,,
1rcczp2_1.jpg,30+,6,,
1rcczp2_3.jpg,30+,6,,
1rcczp2_5.jpg,30+,6,,
1rch2vw_1.jpg,30+,6,,
1rchbak_1.jpg,10-15,2,,
1rcsbd9_3.jpg,10-15,2,,
1rd63q9_1.jpg,15-20,3,,
1rdef5m_1.jpg,15-20,3,,
1rdoh7t_1.jpg,20-25,4,,
1rdrm95_1.jpg,30+,6,,
1rdrm95_2.jpg,30+,6,,
1rdu68t_1.jpg,25-30,5,,
1rdu68t_2.jpg,25-30,5,,
1rdztr0_3.jpg,25-30,5,,
1rdztr0_4.jpg,25-30,5,,
1rdztr0_5.jpg,25-30,5,,
1re3mo8_1.jpg,20-25,4,,
1re3mo8_5.jpg,20-25,4,,
1re5522_1.jpg,15-20,3,,
1re5522_2.jpg,15-20,3,,
1refk83_1.jpg,15-20,3,,
1refk83_2.jpg,15-20,3,,
1regu42_3.jpg,5-10,1,,
1renz2b_1.jpg,15-20,3,,
1rf6fsn_2.jpg,15-20,3,,
1rf6fsn_3.jpg,15-20,3,,
1rf6fsn_4.jpg,15-20,3,,
1rfbxxc_1.jpg,15-20,3,,
1rfbxxc_2.jpg,15-20,3,,
1rfsncy_1.jpg,5-10,1,,
1rfsncy_2.jpg,5-10,1,,
1rfyyrx_1.jpg,30+,6,,
1rg2omq_1.jpg,15-20,3,,
1rg5ymd_1.jpg,10-15,2,,
1rg66ky_1.jpg,20-25,4,,
1rg66ky_2.jpg,20-25,4,,
1rg66ky_3.jpg,20-25,4,,
1rg66ky_4.jpg,20-25,4,,
1rg66ky_6.jpg,20-25,4,,
1rg66ky_7.jpg,20-25,4,,
1rg66ky_8.jpg,20-25,4,,
1rginwg_1.jpg,25-30,5,,
1rh8ujb_1.jpg,15-20,3,,
1riaj30_1.jpg,15-20,3,,
1riaj30_2.jpg,15-20,3,,
1rinpbz_1.jpg,10-15,2,,
1rir5k6_1.jpg,20-25,4,closer to 20,
1riv042_1.jpg,20-25,4,,
1rj1nub_1.jpg,20-25,4,,
1rj1nub_2.jpg,20-25,4,,
1rj25sz_1.jpg,10-15,2,,
1rj25sz_3.jpg,10-15,2,,
1rjia9a_1.jpg,15-20,3,closer to 20,
1rjii2s_1.jpg,25-30,5,,
1rjpux6_1.jpg,20-25,4,,
1rkq6dv_1.jpg,15-20,3,,
1rkq6dv_2.jpg,15-20,3,,
1rkqhio_1.jpg,30+,6,,
1rkqhio_3.jpg,30+,6,,
1rlfsxe_1.jpg,20-25,4,,
1rlh558_2.jpg,25-30,5,,
1rltsyq_1.jpg,15-20,3,,
1rm5g36_1.jpg,20-25,4,,
1rm5g36_2.jpg,20-25,4,,
1rm5g36_3.jpg,20-25,4,,
1rm9zno_1.jpg,25-30,5,,
1rmtecj_1.jpg,20-25,4,,
1rmtecj_2.jpg,20-25,4,,
1rnqrn9_2.jpg,20-25,4,,
1s15ot9_2.jpg,20-25,4,,
1s15ot9_3.jpg,20-25,4,,
Anthony_Mantello.jpg,5-10,1,,
Anthony_Mantello2.jpg,10-15,2,,
Greg_D.jpg,5-10,1,,
Ramon_D.jpg,0-5,0,,
